country,country_name,year,quarter,time,period,gdp_per_worker,y
CRI,Costa Rica,2016,1,2016.0,2016-Q1,28201.87654551048,10.247143798879279
CRI,Costa Rica,2016,2,2016.25,2016-Q2,28531.94468385644,10.258779604655563
CRI,Costa Rica,2016,3,2016.5,2016-Q3,28817.53472053536,10.268739325316478
CRI,Costa Rica,2016,4,2016.75,2016-Q4,27970.79118813464,10.238916072822558
CRI,Costa Rica,2017,1,2017.0,2017-Q1,28134.29982454996,10.244744745279053
CRI,Costa Rica,2017,2,2017.25,2017-Q2,28588.537845776453,10.26076114185313
CRI,Costa Rica,2017,3,2017.5,2017-Q3,28780.019339241844,10.26743665240923
CRI,Costa Rica,2017,4,2017.75,2017-Q4,30231.68350385823,10.316645776062717
CRI,Costa Rica,2018,1,2018.0,2018-Q1,30120.332304928423,10.312955714553118
CRI,Costa Rica,2018,2,2018.25,2018-Q2,28184.12018013988,10.246513984138433
CRI,Costa Rica,2018,3,2018.5,2018-Q3,28307.05009159248,10.25086617245039
CRI,Costa Rica,2018,4,2018.75,2018-Q4,27960.39032440215,10.238544156350525
CRI,Costa Rica,2019,1,2019.0,2019-Q1,28299.59379014606,10.250602729823227
CRI,Costa Rica,2019,2,2019.25,2019-Q2,28643.8537145477,10.262694169094788
CRI,Costa Rica,2019,3,2019.5,2019-Q3,28756.83837939341,10.266630874616636
CRI,Costa Rica,2019,4,2019.75,2019-Q4,28753.015247190327,10.266497918889309
CRI,Costa Rica,2020,1,2020.0,2020-Q1,28557.901309864483,10.25968893020531
CRI,Costa Rica,2020,2,2020.25,2020-Q2,32624.55626895724,10.392820543581
CRI,Costa Rica,2020,3,2020.5,2020-Q3,31219.170723379808,10.348787631364933
CRI,Costa Rica,2020,4,2020.75,2020-Q4,30513.69751320626,10.325930960574471
CRI,Costa Rica,2021,1,2021.0,2021-Q1,31297.094994947187,10.351280560557946
CRI,Costa Rica,2021,2,2021.25,2021-Q2,32312.667914284557,10.383214627810887
CRI,Costa Rica,2021,3,2021.5,2021-Q3,31484.019176816,10.357235368359348
CRI,Costa Rica,2021,4,2021.75,2021-Q4,31406.551900086008,10.354771809368442
CRI,Costa Rica,2022,1,2022.0,2022-Q1,31834.53450656924,10.36830697027949
CRI,Costa Rica,2022,2,2022.25,2022-Q2,31250.31834310174,10.349784842091916
CRI,Costa Rica,2022,3,2022.5,2022-Q3,31281.36425607929,10.350777808032955
CRI,Costa Rica,2022,4,2022.75,2022-Q4,32270.00615078787,10.381893475649889
CRI,Costa Rica,2023,1,2023.0,2023-Q1,33634.96859313507,10.42332153670381
CRI,Costa Rica,2023,2,2023.25,2023-Q2,33687.70123529831,10.424888101223072
CRI,Costa Rica,2023,3,2023.5,2023-Q3,34694.695293978504,10.454342080876248
CRI,Costa Rica,2023,4,2023.75,2023-Q4,35148.65425513735,10.46734161073455
CRI,Costa Rica,2024,1,2024.0,2024-Q1,34265.28824999702,10.441888116358596
CRI,Costa Rica,2024,2,2024.25,2024-Q2,34598.594810661765,10.45156834781249
CRI,Costa Rica,2024,3,2024.5,2024-Q3,33487.0230507133,10.418913271144891
CRI,Costa Rica,2024,4,2024.75,2024-Q4,34455.252042464585,10.447416718884698
CRI,Costa Rica,2025,1,2025.0,2025-Q1,34988.97976590279,10.462788427060179
CRI,Costa Rica,2025,2,2025.25,2025-Q2,36773.28797595279,10.512526990367007
CRI,Costa Rica,2025,3,2025.5,2025-Q3,36310.8006561395,10.499870514733695
CRI,Costa Rica,2025,4,2025.75,2025-Q4,36723.17943097781,10.511163426797035
CRI,Costa Rica,2026,1,2026.0,2026-Q1,37333.29630509051,10.527640869780697
CYP,Cyprus,1999,2,1999.25,1999-Q2,51821.30597256363,10.855556655893547
CYP,Cyprus,2000,2,2000.25,2000-Q2,53788.81960752414,10.892820910567018
CYP,Cyprus,2001,2,2001.25,2001-Q2,51770.60526490784,10.854577801249427
CYP,Cyprus,2002,2,2002.25,2002-Q2,53252.65466454913,10.882802935184442
CYP,Cyprus,2003,2,2003.25,2003-Q2,51792.11416279968,10.854993180419074
CYP,Cyprus,2004,2,2004.25,2004-Q2,53182.41751771664,10.881483122916025
CYP,Cyprus,2004,3,2004.5,2004-Q3,53926.96943204616,10.895385992278841
CYP,Cyprus,2004,4,2004.75,2004-Q4,53961.51592483556,10.896026403419212
CYP,Cyprus,2005,1,2005.0,2005-Q1,54219.95430210729,10.900804280228755
CYP,Cyprus,2005,2,2005.25,2005-Q2,53987.37048330394,10.896505418253417
CYP,Cyprus,2005,3,2005.5,2005-Q3,54508.40614810593,10.906110210007027
CYP,Cyprus,2005,4,2005.75,2005-Q4,54843.78518094838,10.912244153558152
CYP,Cyprus,2006,1,2006.0,2006-Q1,55486.91821477572,10.923902564109188
CYP,Cyprus,2006,2,2006.25,2006-Q2,55526.13611268012,10.924609109835247
CYP,Cyprus,2006,3,2006.5,2006-Q3,55259.24278458172,10.919790895607225
CYP,Cyprus,2006,4,2006.75,2006-Q4,55647.993485668325,10.926801300090826
CYP,Cyprus,2007,1,2007.0,2007-Q1,55571.98466833786,10.925434480380458
CYP,Cyprus,2007,2,2007.25,2007-Q2,54634.602202729686,10.908422700981353
CYP,Cyprus,2007,3,2007.5,2007-Q3,54975.270719346096,10.914638739819134
CYP,Cyprus,2007,4,2007.75,2007-Q4,55306.61812820605,10.920647857170813
CYP,Cyprus,2008,1,2008.0,2008-Q1,56652.81575223871,10.944696969585252
CYP,Cyprus,2008,2,2008.25,2008-Q2,56377.09919937059,10.939818312464196
CYP,Cyprus,2008,3,2008.5,2008-Q3,56686.42336281857,10.945290014179996
CYP,Cyprus,2008,4,2008.75,2008-Q4,55886.34474840788,10.93107534930927
CYP,Cyprus,2009,1,2009.0,2009-Q1,56348.415149153305,10.939309393946465
CYP,Cyprus,2009,2,2009.25,2009-Q2,55243.35128792569,10.919503273458641
CYP,Cyprus,2009,3,2009.5,2009-Q3,54871.648171755005,10.912752067359415
CYP,Cyprus,2009,4,2009.75,2009-Q4,54578.71395943146,10.907399231497216
CYP,Cyprus,2010,1,2010.0,2010-Q1,55588.4840924032,10.925731338146
CYP,Cyprus,2010,2,2010.25,2010-Q2,54594.5695055676,10.907689697181572
CYP,Cyprus,2010,3,2010.5,2010-Q3,54569.59310889775,10.907232103837613
CYP,Cyprus,2010,4,2010.75,2010-Q4,54291.99522308653,10.902132077432265
CYP,Cyprus,2011,1,2011.0,2011-Q1,54524.72492893122,10.906409546195688
CYP,Cyprus,2011,2,2011.25,2011-Q2,54525.51160271397,10.906423973927488
CYP,Cyprus,2011,3,2011.5,2011-Q3,54426.20352668394,10.904600999348077
CYP,Cyprus,2011,4,2011.75,2011-Q4,54806.19072328337,10.911558435958526
CYP,Cyprus,2012,1,2012.0,2012-Q1,55560.21190762031,10.92522261089305
CYP,Cyprus,2012,2,2012.25,2012-Q2,54562.91786926432,10.907109771095849
CYP,Cyprus,2012,3,2012.5,2012-Q3,54330.81527182382,10.902846845356482
CYP,Cyprus,2012,4,2012.75,2012-Q4,53391.52079604373,10.88540722574942
CYP,Cyprus,2013,1,2013.0,2013-Q1,54285.37244616528,10.902010085583106
CYP,Cyprus,2013,2,2013.25,2013-Q2,53483.84534782968,10.887134931170838
CYP,Cyprus,2013,3,2013.5,2013-Q3,53582.93107022092,10.888985846160422
CYP,Cyprus,2013,4,2013.75,2013-Q4,53381.95088060218,10.885227969323326
CYP,Cyprus,2014,1,2014.0,2014-Q1,53882.68434985596,10.8945644501789
CYP,Cyprus,2014,2,2014.25,2014-Q2,52890.27862286452,10.87597483201485
CYP,Cyprus,2014,3,2014.5,2014-Q3,52839.54871452965,10.875015217996642
CYP,Cyprus,2014,4,2014.75,2014-Q4,52688.99190075052,10.8721618303718
CYP,Cyprus,2015,1,2015.0,2015-Q1,55181.510593407824,10.918383223137921
CYP,Cyprus,2015,2,2015.25,2015-Q2,54674.12350914856,10.909145814490977
CYP,Cyprus,2015,3,2015.5,2015-Q3,56064.76144704901,10.934262755950568
CYP,Cyprus,2015,4,2015.75,2015-Q4,56395.9478502453,10.9401525882782
CYP,Cyprus,2016,1,2016.0,2016-Q1,59490.57528554096,10.993573180425008
CYP,Cyprus,2016,2,2016.25,2016-Q2,57251.81484932866,10.955214621338992
CYP,Cyprus,2016,3,2016.5,2016-Q3,58030.86493438268,10.968730302025888
CYP,Cyprus,2016,4,2016.75,2016-Q4,59042.53688156689,10.986013427212447
CYP,Cyprus,2017,1,2017.0,2017-Q1,60738.89792624473,11.014339594316674
CYP,Cyprus,2017,2,2017.25,2017-Q2,58282.1165921497,10.973050577291225
CYP,Cyprus,2017,3,2017.5,2017-Q3,58200.958620314654,10.971657104723308
CYP,Cyprus,2017,4,2017.75,2017-Q4,59277.15810648792,10.989979318646846
CYP,Cyprus,2018,1,2018.0,2018-Q1,60760.32069364321,11.014692234734675
CYP,Cyprus,2018,2,2018.25,2018-Q2,58783.91938218301,10.981623616589426
CYP,Cyprus,2018,3,2018.5,2018-Q3,58437.70000309761,10.975716508538087
CYP,Cyprus,2018,4,2018.75,2018-Q4,60011.69821001602,11.002294792366959
CYP,Cyprus,2019,1,2019.0,2019-Q1,60766.52234305515,11.014794296950106
CYP,Cyprus,2019,2,2019.25,2019-Q2,58803.253751920594,10.981952468272759
CYP,Cyprus,2019,3,2019.5,2019-Q3,59510.87669173627,10.993914376369341
CYP,Cyprus,2019,4,2019.75,2019-Q4,59377.39177759797,10.991668823095692
CYP,Cyprus,2020,1,2020.0,2020-Q1,60116.92977956906,11.004046774358779
CYP,Cyprus,2020,2,2020.25,2020-Q2,52330.279238549134,10.86533043546035
CYP,Cyprus,2020,3,2020.5,2020-Q3,56327.77671198807,10.938943062123297
CYP,Cyprus,2020,4,2020.75,2020-Q4,58683.7741326956,10.979918547378425
CYP,Cyprus,2021,1,2021.0,2021-Q1,61744.08446501178,11.030753451763827
CYP,Cyprus,2021,2,2021.25,2021-Q2,60497.750755351815,11.010361465730337
CYP,Cyprus,2021,3,2021.5,2021-Q3,60580.69739155252,11.011731596425705
CYP,Cyprus,2021,4,2021.75,2021-Q4,61962.83895144257,11.034290112581248
CYP,Cyprus,2022,1,2022.0,2022-Q1,63945.34977492574,11.0657840877864
CYP,Cyprus,2022,2,2022.25,2022-Q2,63182.5788320345,11.053783890744262
CYP,Cyprus,2022,3,2022.5,2022-Q3,63333.42259433901,11.05616847185782
CYP,Cyprus,2022,4,2022.75,2022-Q4,63126.32645821273,11.052893179556296
CYP,Cyprus,2023,1,2023.0,2023-Q1,63796.3197298159,11.063450783183423
CYP,Cyprus,2023,2,2023.25,2023-Q2,63347.37271173755,11.056388712304232
CYP,Cyprus,2023,3,2023.5,2023-Q3,63565.75277111029,11.059830125854969
CYP,Cyprus,2023,4,2023.75,2023-Q4,64905.04014696982,11.080680559876628
CYP,Cyprus,2024,1,2024.0,2024-Q1,66217.43177515423,11.100699027128886
CYP,Cyprus,2024,2,2024.25,2024-Q2,65022.21836978496,11.082484311543876
CYP,Cyprus,2024,3,2024.5,2024-Q3,64968.59049684565,11.081659208962403
CYP,Cyprus,2024,4,2024.75,2024-Q4,65647.85528487436,11.092060210269263
CYP,Cyprus,2025,1,2025.0,2025-Q1,66314.90924994931,11.102170026458081
CYP,Cyprus,2025,2,2025.25,2025-Q2,64970.16657521131,11.081683467750178
CYP,Cyprus,2025,3,2025.5,2025-Q3,65121.36293640161,11.084007930070447
CYP,Cyprus,2025,4,2025.75,2025-Q4,65812.50098491226,11.09456508384176
CYP,Cyprus,2026,1,2026.0,2026-Q1,66059.22605362076,11.098306983066594
CZE,Czech Republic,1995,1,1995.0,1995-Q1,35029.320359689045,10.463940714338717
CZE,Czech Republic,1995,2,1995.25,1995-Q2,35564.88125377766,10.47911394831142
CZE,Czech Republic,1995,3,1995.5,1995-Q3,35877.369605520085,10.487862002602418
CZE,Czech Republic,1995,4,1995.75,1995-Q4,35832.33197525013,10.48660589261454
CZE,Czech Republic,1996,1,1996.0,1996-Q1,36625.8175530601,10.508508668338083
CZE,Czech Republic,1996,2,1996.25,1996-Q2,37038.3282176291,10.51970855322827
CZE,Czech Republic,1996,3,1996.5,1996-Q3,37122.19545063747,10.52197032983428
CZE,Czech Republic,1996,4,1996.75,1996-Q4,36994.8699611883,10.51853453231599
CZE,Czech Republic,1997,1,1997.0,1997-Q1,37074.17926226905,10.520676029533023
CZE,Czech Republic,1997,2,1997.25,1997-Q2,37056.54040222136,10.52020014421961
CZE,Czech Republic,1997,3,1997.5,1997-Q3,36922.27173803543,10.516570218089885
CZE,Czech Republic,1997,4,1997.75,1997-Q4,34190.19668877517,10.439694235432686
CZE,Czech Republic,1998,1,1998.0,1998-Q1,24916.356380715068,10.123279749559394
CZE,Czech Republic,1998,2,1998.25,1998-Q2,25033.14775442493,10.127956135784665
CZE,Czech Republic,1998,3,1998.5,1998-Q3,25113.923777251788,10.131177703474295
CZE,Czech Republic,1998,4,1998.75,1998-Q4,25130.28922934636,10.131829139796768
CZE,Czech Republic,1999,1,1999.0,1999-Q1,25602.585538956253,10.150448622983216
CZE,Czech Republic,1999,2,1999.25,1999-Q2,25702.804753847613,10.154355399319545
CZE,Czech Republic,1999,3,1999.5,1999-Q3,26011.953191516903,10.166311449491687
CZE,Czech Republic,1999,4,1999.75,1999-Q4,26242.18473677621,10.1751234993778
CZE,Czech Republic,2000,1,2000.0,2000-Q1,26930.186590573925,10.201003114507
CZE,Czech Republic,2000,2,2000.25,2000-Q2,27124.142503161416,10.20817947755639
CZE,Czech Republic,2000,3,2000.5,2000-Q3,27384.388143682358,10.217728354214243
CZE,Czech Republic,2000,4,2000.75,2000-Q4,27400.804929629176,10.218327668938432
CZE,Czech Republic,2001,1,2001.0,2001-Q1,27913.15916945826,10.236853511434578
CZE,Czech Republic,2001,2,2001.25,2001-Q2,27944.33350306132,10.237969721108454
CZE,Czech Republic,2001,3,2001.5,2001-Q3,28089.4502057034,10.243149347308075
CZE,Czech Republic,2001,4,2001.75,2001-Q4,28147.893245637395,10.24522779047009
CZE,Czech Republic,2002,1,2002.0,2002-Q1,28279.020947068573,10.249875499434864
CZE,Czech Republic,2002,2,2002.25,2002-Q2,28114.02407039281,10.24402380806239
CZE,Czech Republic,2002,3,2002.5,2002-Q3,28159.09375184009,10.245625627646172
CZE,Czech Republic,2002,4,2002.75,2002-Q4,28251.340741867345,10.248896195337512
CZE,Czech Republic,2003,1,2003.0,2003-Q1,28895.631478485368,10.271445702760712
CZE,Czech Republic,2003,2,2003.25,2003-Q2,29163.558580971683,10.28067521506125
CZE,Czech Republic,2003,3,2003.5,2003-Q3,29471.82543930801,10.291190016104133
CZE,Czech Republic,2003,4,2003.75,2003-Q4,29775.74155330776,10.301449299146208
CZE,Czech Republic,2004,1,2004.0,2004-Q1,30398.522275758256,10.322149276862783
CZE,Czech Republic,2004,2,2004.25,2004-Q2,30599.17903531804,10.328728458669396
CZE,Czech Republic,2004,3,2004.5,2004-Q3,30976.20961793965,10.34097475716148
CZE,Czech Republic,2004,4,2004.75,2004-Q4,31367.877072164443,10.353539625071491
CZE,Czech Republic,2005,1,2005.0,2005-Q1,32151.162500528422,10.37820388765991
CZE,Czech Republic,2005,2,2005.25,2005-Q2,32204.77065617959,10.379869877582543
CZE,Czech Republic,2005,3,2005.5,2005-Q3,32433.73582753448,10.386954389322135
CZE,Czech Republic,2005,4,2005.75,2005-Q4,32930.81900162284,10.402164246048768
CZE,Czech Republic,2006,1,2006.0,2006-Q1,33658.861833404335,10.424031653548752
CZE,Czech Republic,2006,2,2006.25,2006-Q2,34058.128199452934,10.435823996730411
CZE,Czech Republic,2006,3,2006.5,2006-Q3,34394.47935277255,10.445651346551536
CZE,Czech Republic,2006,4,2006.75,2006-Q4,34626.58217374499,10.452376936994268
CZE,Czech Republic,2007,1,2007.0,2007-Q1,35227.808842844366,10.469591073625978
CZE,Czech Republic,2007,2,2007.25,2007-Q2,35153.47261566852,10.467478686545858
CZE,Czech Republic,2007,3,2007.5,2007-Q3,35443.6749333283,10.47570009385012
CZE,Czech Republic,2007,4,2007.75,2007-Q4,35648.00186753708,10.481448375675225
CZE,Czech Republic,2008,1,2008.0,2008-Q1,35961.62316025104,10.490207625504887
CZE,Czech Republic,2008,2,2008.25,2008-Q2,35839.70159634208,10.486811541059286
CZE,Czech Republic,2008,3,2008.5,2008-Q3,35798.16138561849,10.48565181312631
CZE,Czech Republic,2008,4,2008.75,2008-Q4,34982.392788885154,10.462600150718108
CZE,Czech Republic,2009,1,2009.0,2009-Q1,34432.84871916455,10.446766292356976
CZE,Czech Republic,2009,2,2009.25,2009-Q2,34307.859704711016,10.443129752814059
CZE,Czech Republic,2009,3,2009.5,2009-Q3,34564.911393697505,10.45059432490718
CZE,Czech Republic,2009,4,2009.75,2009-Q4,34535.74855598325,10.449750256573624
CZE,Czech Republic,2010,1,2010.0,2010-Q1,35521.54523467308,10.477894699388278
CZE,Czech Republic,2010,2,2010.25,2010-Q2,35591.60047024046,10.479864947154287
CZE,Czech Republic,2010,3,2010.5,2010-Q3,35782.78033097022,10.48522206033133
CZE,Czech Republic,2010,4,2010.75,2010-Q4,35860.151795007245,10.48738198013977
CZE,Czech Republic,2011,1,2011.0,2011-Q1,36556.34361603164,10.506610010064286
CZE,Czech Republic,2011,2,2011.25,2011-Q2,36409.14800573717,10.502575340888477
CZE,Czech Republic,2011,3,2011.5,2011-Q3,36309.75247412367,10.499841647368447
CZE,Czech Republic,2011,4,2011.75,2011-Q4,36401.97120453601,10.502378206129329
CZE,Czech Republic,2012,1,2012.0,2012-Q1,36690.65877441593,10.510277472337112
CZE,Czech Republic,2012,2,2012.25,2012-Q2,36080.42511995282,10.493505756810936
CZE,Czech Republic,2012,3,2012.5,2012-Q3,35737.68593898653,10.483961039526763
CZE,Czech Republic,2012,4,2012.75,2012-Q4,35657.00722595308,10.481700962655534
