STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,EXRATE,STATISTICAL_MEASURES,TRANSFORMATION,DERIVATION_TYPE,OVERLAP,IFS_FLAG,STATUS
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1965,0.00000002877852666666668,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1966,0.00000002882386,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1967,0.00000002884161,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1968,0.00000002872761,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1969,0.00000002856119333333332,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1970,0.00000002862511,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1971,0.00000002819112,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1972,0.000000027052815,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1973,0.00000002451462,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1974,0.00000002540760083333332,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1975,0.00000002555218083333332,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1976,0.00000002938362333333332,0,,,,,,R,OL,true,T
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1977,0.000000029918,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1978,0.000000029918,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1979,0.000000029918,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1980,0.000000029918,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1981,0.000000029918,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1982,0.000000029918,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1983,0.000000029918,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1984,0.000000029918,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1985,0.000000029918,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1986,0.000000029918,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1987,0.000000029918,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1988,0.000000029918,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1989,0.000000029918,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1990,0.000000029918,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1991,0.00000005509833333333335,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1992,0.0000002514166666666668,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1993,0.000002660166666666668,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1994,0.000059515,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1995,0.002750229583333332,0,,,,,,R,OL,true,T
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1996,0.1280291666666667,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1997,0.2290400833333333,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1998,0.3928235175,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1999,2.790706166666668,0,,,,,,R,OL,true,T
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2000,10.04054416666667,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2001,22.05786166666667,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2002,43.53020666666668,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2003,74.60630083333332,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2004,83.54136250000002,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2005,87.15914166666668,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2006,80.36807205555555,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2007,76.70614275,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2008,75.03335416666668,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2009,79.32816666666668,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2010,91.9057203405018,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,2011,93.93475000000002,0,,,,,,R,OL,true,
