"ref_area","source","indicator","sex","classif1","time","obs_value"
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2009",5083.982
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2009",1539.989
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2009",3543.993
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2009",967.27
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2009",313.798
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2009",653.473
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2008",5779.536
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2008",1746.288
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2008",4033.248
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2008",4872.215
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2008",1458.297
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2008",3413.918
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2008",907.322
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2008",287.991
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2008",619.33
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2007",5612.339
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2007",1673.217
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2007",3939.122
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2007",4745.588
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2007",1403.886
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2007",3341.702
